variety,precio,puntos
Çalkarası,19.0,86.0
Garnacha,23.396103896103895,85.97419354838709
Pinot Noir-Gamay,19.285714285714285,85.86666666666666
Portuguese Sparkling,18.129032258064516,85.84615384615384
Passerina,17.88888888888889,85.8
Chardonnay-Viognier,17.46153846153846,85.8
Ugni Blanc-Colombard,10.8,85.8
Syrah-Cabernet,18.5,85.75
Maturana,63.333333333333336,85.66666666666667
Malbec-Syrah,18.545454545454547,85.63636363636364
Sauvignon Gris,20.285714285714285,85.55555555555556
Rufete,28.5,85.5
Garnacha-Syrah,15.5,85.5
Gewürztraminer-Riesling,31.25,85.5
Madeleine Angevine,17.5,85.5
Raboso,17.0,85.5
Azal,14.0,85.5
Macabeo,14.444444444444445,85.33333333333333
Baco Noir,27.22222222222222,85.33333333333333
Blanc du Bois,34.333333333333336,85.33333333333333
Pansa Blanca,14.5,85.33333333333333
Torrontés,13.0,85.296
Colombard-Ugni Blanc,10.5,85.25
Xarel-lo,16.666666666666668,85.16666666666667
Viura,15.348484848484848,85.15151515151516
Colombard-Sauvignon Blanc,10.75,85.125
Abouriou,75.0,85.0
Malvasia-Viura,17.666666666666668,85.0
Misket,19.0,85.0
Symphony,10.5,85.0
Grignolino,17.0,85.0
Hondarrabi Zuri,21.6,85.0
Moschofilero-Chardonnay,13.0,85.0
Macabeo-Moscatel,8.0,85.0
Chardonnay-Pinot Gris,17.0,85.0
Ekigaïna,,85.0
Macabeo-Chardonnay,12.0,85.0
Sideritis,23.0,85.0
Pinot Blanc-Pinot Noir,16.0,85.0
Portuguese Rosé,14.666666666666666,85.0
Tinto Velasco,9.0,85.0
Biancolella,26.0,85.0
Merlot-Argaman,12.0,85.0
Cabernet Moravia,18.0,85.0
Tempranillo-Garnacha,13.846153846153847,84.92307692307692
Rosado,12.678571428571429,84.85714285714286
Tempranillo-Shiraz,12.4,84.8
Verdejo-Sauvignon Blanc,10.0,84.66666666666667
Semillon-Chardonnay,12.333333333333334,84.66666666666667
Chambourcin,21.75,84.5
Pignoletto,16.0,84.5
Chenin Blanc-Sauvignon Blanc,10.0,84.33333333333333
Lambrusco,15.043478260869565,84.32142857142857
Tempranillo-Merlot,18.0,84.2
Cabernet Sauvignon-Barbera,45.0,84.0
Tempranillo Blanco,30.666666666666668,84.0
Verdosilla,17.0,84.0
Kinali Yapincak,15.0,84.0
Pigato,23.0,84.0
Doña Blanca,53.0,84.0
Siegerrebe,15.0,84.0
Pinotage-Merlot,10.0,84.0
Zlahtina,13.0,84.0
Sauvignon Blanc-Verdejo,13.0,84.0
Seyval Blanc,16.7,83.9
Norton,22.75,83.75
Brachetto,16.833333333333332,83.5
Traminette,15.333333333333334,83.5
Viura-Verdejo,13.0,83.0
Forcallà,27.0,83.0
País,18.0,83.0
Moscatel de Alejandría,15.0,83.0
Asprinio,,83.0
Paralleda,11.0,83.0
Viura-Chardonnay,10.0,82.75
Aidani,27.0,82.0
Airen,8.5,81.5
Gragnano,16.0,81.0
Malvar,12.0,81.0
